Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
199,Exit Long,Profit Target Reached,2024-06-11,3.1480,10,166.98,5.61,10394.51,0.83,174.73,5.87,17.37,0.58
199,Entry Long,Long,2024-06-10,2.9749,10,166.98,5.61,10394.51,0.83,174.73,5.87,17.37,0.58
198,Exit Long,Profit Target Reached,2024-06-05,2.7566,10,138.13,5.28,10227.53,0.69,164.89,6.30,16.71,0.64
198,Entry Long,Long,2024-06-04,2.6131,10,138.13,5.28,10227.53,0.69,164.89,6.30,16.71,0.64
197,Exit Long,Profit Target Reached,2024-04-25,1.9769,10,334.78,20.41,10089.40,1.69,346.46,21.12,1.64,0.10
197,Entry Long,Long,2024-04-24,1.6385,10,334.78,20.41,10089.40,1.69,346.46,21.12,1.64,0.10
196,Exit Long,Profit Target Reached,2024-04-18,1.7415,10,65.69,3.92,9754.62,0.33,100.43,6.00,20.67,1.23
196,Entry Long,Long,2024-04-16,1.6724,10,65.69,3.92,9754.62,0.33,100.43,6.00,20.67,1.23
195,Exit Long,Trailing Stop Hit,2024-04-11,1.7635,10,-78.60,-4.27,9688.93,-0.40,96.06,5.22,100.74,5.47
195,Entry Long,Long,2024-04-01,1.8385,10,-78.60,-4.27,9688.93,-0.40,96.06,5.22,100.74,5.47
194,Exit Long,Profit Target Reached,2024-03-25,1.7936,10,137.15,8.29,9767.53,0.70,163.45,9.88,1.65,0.10
194,Entry Long,Long,2024-03-24,1.6530,10,137.15,8.29,9767.53,0.70,163.45,9.88,1.65,0.10
193,Exit Long,Profit Target Reached,2024-02-26,1.7524,10,165.56,10.45,9630.38,0.85,242.42,15.29,1.58,0.10
193,Entry Long,Long,2024-02-25,1.5835,10,165.56,10.45,9630.38,0.85,242.42,15.29,1.58,0.10
192,Exit Long,Profit Target Reached,2024-01-09,3.1546,10,254.45,8.78,9464.82,1.32,488.41,16.86,209.49,7.23
192,Entry Long,Long,2024-01-07,2.8941,10,254.45,8.78,9464.82,1.32,488.41,16.86,209.49,7.23
191,Exit Long,Profit Target Reached,2024-01-03,2.6826,10,108.85,4.23,9210.36,0.57,142.53,5.54,39.67,1.54
191,Entry Long,Long,2024-01-02,2.5685,10,108.85,4.23,9210.36,0.57,142.53,5.54,39.67,1.54
190,Exit Long,Trailing Stop Hit,2023-12-26,2.4270,10,-153.40,-5.95,9101.52,-0.80,36.12,1.40,227.58,8.83
190,Entry Long,Long,2023-12-21,2.5754,10,-153.40,-5.95,9101.52,-0.80,36.12,1.40,227.58,8.83
189,Exit Long,Profit Target Reached,2023-10-31,3.6019,10,149.35,4.33,9254.92,0.78,175.55,5.09,136.55,3.96
189,Entry Long,Long,2023-10-29,3.4455,10,149.35,4.33,9254.92,0.78,175.55,5.09,136.55,3.96
188,Exit Long,Profit Target Reached,2023-10-05,3.1806,10,244.59,8.34,9105.57,1.30,265.27,9.04,119.43,4.07
188,Entry Long,Long,2023-10-01,2.9299,10,244.59,8.34,9105.57,1.30,265.27,9.04,119.43,4.07
187,Exit Long,Profit Target Reached,2023-09-28,2.9405,10,86.61,3.04,8860.98,0.46,124.45,4.37,7.45,0.26
187,Entry Long,Long,2023-09-26,2.8481,10,86.61,3.04,8860.98,0.46,124.45,4.37,7.45,0.26
186,Exit Long,Profit Target Reached,2023-09-19,2.8311,10,125.47,4.64,8774.36,0.67,163.30,6.04,108.30,4.01
186,Entry Long,Long,2023-09-14,2.7001,10,125.47,4.64,8774.36,0.67,163.30,6.04,108.30,4.01
185,Exit Long,Trailing Stop Hit,2023-09-04,2.6561,10,-150.36,-5.36,8648.90,-0.80,54.70,1.95,168.40,6.01
185,Entry Long,Long,2023-08-30,2.8010,10,-150.36,-5.36,8648.90,-0.80,54.70,1.95,168.40,6.01
184,Exit Long,Profit Target Reached,2023-08-09,2.9666,10,165.84,5.93,8799.25,0.89,213.71,7.64,32.39,1.16
184,Entry Long,Long,2023-08-08,2.7950,10,165.84,5.93,8799.25,0.89,213.71,7.64,32.39,1.16
183,Exit Long,Trailing Stop Hit,2023-07-27,2.5950,10,-109.19,-4.04,8633.41,-0.58,50.90,1.88,156.20,5.78
183,Entry Long,Long,2023-07-24,2.6989,10,-109.19,-4.04,8633.41,-0.58,50.90,1.88,156.20,5.78
