Trade,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
212,Exit Short,Long,6/12/2024 9:30,36.1,28,-40.06,-4.11,2597.18,-0.32,14.43,1.48,39.05,4.01
212,Entry Short,Short,6/11/2024 9:30,34.74,28,-40.06,-4.11,2597.18,-0.32,14.43,1.48,39.05,4.01
211,Exit Long,Short,6/11/2024 9:30,34.74,29,22.95,2.33,2637.25,0.18,63.4,6.45,22.15,2.25
211,Entry Long,Long,6/3/2024 9:30,33.88,29,22.95,2.33,2637.25,0.18,63.4,6.45,22.15,2.25
210,Exit Short,Long,6/3/2024 9:30,33.88,30,-32.9,-3.34,2614.3,-0.26,6.51,0.66,38.79,3.93
210,Entry Short,Short,5/23/2024 12:30,32.85,30,-32.9,-3.34,2614.3,-0.26,6.51,0.66,38.79,3.93
209,Exit Long,Short,5/23/2024 12:30,32.85,30,6.44,0.66,2647.2,0.05,53.32,5.45,15.38,1.57
209,Entry Long,Long,5/15/2024 9:30,32.57,30,6.44,0.66,2647.2,0.05,53.32,5.45,15.38,1.57
208,Exit Short,Long,5/15/2024 9:30,32.57,31,-29.89,-3.04,2640.76,-0.24,10.18,1.04,28.88,2.94
208,Entry Short,Short,5/10/2024 9:30,31.67,31,-29.89,-3.04,2640.76,-0.24,10.18,1.04,28.88,2.94
207,Exit Long,Short,5/10/2024 9:30,31.67,31,-26.48,-2.63,2670.65,-0.21,20.38,2.02,25.5,2.53
207,Entry Long,Long,5/3/2024 9:30,32.46,31,-26.48,-2.63,2670.65,-0.21,20.38,2.02,25.5,2.53
206,Exit Short,Long,5/3/2024 9:30,32.46,31,-33.91,-3.48,2697.13,-0.27,38.4,3.94,32.9,3.37
206,Entry Short,Short,4/30/2024 9:30,31.43,31,-33.91,-3.48,2697.13,-0.27,38.4,3.94,32.9,3.37
205,Exit Long,Short,4/30/2024 9:30,31.43,31,-8.78,-0.89,2731.04,-0.07,46.76,4.76,12.76,1.3
205,Entry Long,Long,4/22/2024 9:30,31.65,31,-8.78,-0.89,2731.04,-0.07,46.76,4.76,12.76,1.3
204,Exit Short,Long,4/22/2024 9:30,31.65,28,107.32,10.77,2739.82,0.85,141.52,14.2,3.52,0.35
204,Entry Short,Short,4/1/2024 9:30,35.55,28,107.32,10.77,2739.82,0.85,141.52,14.2,3.52,0.35
203,Exit Long,Short,4/1/2024 9:30,35.55,28,18.19,1.86,2632.5,0.14,65.38,6.7,4.62,0.47
203,Entry Long,Long,3/20/2024 12:30,34.83,28,18.19,1.86,2632.5,0.14,65.38,6.7,4.62,0.47
202,Exit Short,Long,3/20/2024 12:30,34.83,29,-26.07,-2.64,2614.31,-0.21,38.45,3.9,25.06,2.54
202,Entry Short,Short,3/14/2024 9:30,34,29,-26.07,-2.64,2614.31,-0.21,38.45,3.9,25.06,2.54
201,Exit Long,Short,3/14/2024 9:30,34,28,-25.73,-2.63,2640.38,-0.2,35.98,3.68,24.78,2.54
201,Entry Long,Long,3/8/2024 9:30,34.85,28,-25.73,-2.63,2640.38,-0.2,35.98,3.68,24.78,2.54
200,Exit Short,Long,3/8/2024 9:30,34.85,30,-62.63,-6.35,2666.1,-0.49,0.52,0.05,61.58,6.25
200,Entry Short,Short,3/5/2024 12:30,32.83,30,-62.63,-6.35,2666.1,-0.49,0.52,0.05,61.58,6.25
199,Exit Long,Short,3/5/2024 12:30,32.83,31,29.62,3,2728.73,0.23,105.96,10.73,0,0
199,Entry Long,Long,2/26/2024 9:30,31.81,31,29.62,3,2728.73,0.23,105.96,10.73,0,0
198,Exit Short,Long,2/26/2024 9:30,31.81,32,-33.68,-3.41,2699.12,-0.26,6.05,0.61,32.67,3.31
198,Entry Short,Short,2/21/2024 9:30,30.82,32,-33.68,-3.41,2699.12,-0.26,6.05,0.61,32.67,3.31
197,Exit Long,Short,2/21/2024 9:30,30.82,36,120.66,12.22,2732.8,0.96,200.61,20.31,0.99,0.1
197,Entry Long,Long,2/7/2024 12:30,27.41,36,120.66,12.22,2732.8,0.96,200.61,20.31,0.99,0.1
196,Exit Short,Long,2/7/2024 12:30,27.41,37,-17.18,-1.72,2612.14,-0.14,15.65,1.57,16.17,1.62
196,Entry Short,Short,1/31/2024 15:30,27,37,-17.18,-1.72,2612.14,-0.14,15.65,1.57,16.17,1.62
195,Exit Long,Short,1/31/2024 15:30,27,37,3.56,0.36,2629.32,0.03,45.26,4.55,0,0
195,Entry Long,Long,1/26/2024 9:30,26.85,37,3.56,0.36,2629.32,0.03,45.26,4.55,0,0
194,Exit Short,Long,1/26/2024 9:30,26.85,35,44.27,4.49,2625.76,0.35,78.11,7.91,11.49,1.16
194,Entry Short,Short,1/11/2024 9:30,28.17,35,44.27,4.49,2625.76,0.35,78.11,7.91,11.49,1.16
193,Exit Long,Short,1/11/2024 9:30,28.17,34,-43.1,-4.31,2581.49,-0.34,35.04,3.5,42.14,4.21
193,Entry Long,Long,1/8/2024 12:30,29.38,34,-43.1,-4.31,2581.49,-0.34,35.04,3.5,42.14,4.21
192,Exit Short,Long,1/8/2024 12:30,29.38,32,39.68,4.04,2624.59,0.32,82.86,8.43,8.02,0.82
192,Entry Short,Short,12/29/2023 9:30,30.68,32,39.68,4.04,2624.59,0.32,82.86,8.43,8.02,0.82
191,Exit Long,Short,12/29/2023 9:30,30.68,45,381.47,38.23,2584.91,3.13,454.85,45.59,10,1
